,7597,12129,14133,12141,16147,12393,19788,17650,18820,10823,18828,7426,22082,19778,19597,20259
2019-03-17,3.57,3.1,5.67,2.93,4.9,3.25,3.785,2.63,5.13,3.97,4.23,5.57,6.085,,4.515000000000001,3.8
2019-03-18,2.45,2.4850000000000003,4.46,2.115,3.77,2.57,2.415,1.85,4.1,3.63,2.9,4.015000000000001,4.1,,2.7,3.33
2019-03-19,2.4,3.47,4.9399999999999995,3.0149999999999997,3.9,3.5,2.13,2.3,6.58,4.0,2.73,3.7,4.53,3.57,2.7,3.93
2019-03-20,3.47,4.1,6.0,3.33,5.4,3.53,2.53,3.13,6.77,4.37,3.7,5.93,5.7,5.35,3.63,4.0
2019-03-21,5.9350000000000005,5.83,8.2,4.8,7.7,5.3,4.27,4.47,9.88,6.115,6.3,8.03,8.4,8.8,6.135,6.43
2019-03-22,6.5600000000000005,5.83,8.53,4.53,7.4,5.4,3.715,4.115,8.95,6.17,5.23,7.2,7.785,7.6,5.27,5.35
2019-03-23,7.8675,8.2,11.87,6.33,10.17,6.585,4.415,6.83,12.215,7.8,8.315000000000001,10.385,9.73,10.32,,7.57
2019-03-24,5.484999999999999,4.215,7.53,4.415,6.83,4.085,2.93,3.8,8.43,5.03,4.73,6.07,5.77,6.43,,4.73
2019-03-25,5.4,3.2,9.67,5.8,8.27,6.12,3.5,4.915,10.215,6.0,4.47,6.27,6.4,5.865,,8.3
2019-03-26,4.085,2.3,7.13,5.2,5.550000000000001,4.35,2.37,3.08,8.33,4.57,2.87,4.77,5.27,3.9,,6.07
2019-03-27,7.915,2.87,9.23,4.87,8.315000000000001,4.93,3.215,4.53,11.325,4.97,3.37,6.93,6.23,7.3,,5.6
2019-03-28,6.6,2.5,6.17,3.9,5.83,2.57,2.03,4.33,7.22,3.215,2.7,7.27,5.07,6.37,2.615,3.05
2019-03-29,12.67,10.6,14.87,7.5,13.27,8.315000000000001,5.65,8.015,14.95,9.73,9.399999999999999,9.87,11.6,12.4,7.07,10.0
2019-03-30,14.17,11.03,16.93,8.73,14.815000000000001,10.03,8.399999999999999,10.73,15.4,11.83,10.23,12.65,15.2,14.754999999999999,10.3,11.45
2019-03-31,1.23,2.2,2.9,1.55,2.37,1.9,0.8,1.3,4.015000000000001,2.47,1.3,1.6,2.0,1.83,1.27,2.37
2019-04-01,2.77,2.87,6.9,2.27,5.449999999999999,1.95,0.97,1.85,4.75,2.5,1.67,3.43,3.17,3.17,1.73,2.53
